|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Date                | Title                                                                                                      | Files       | Size       | Link                                                                            | Magnet URL                                                                                                                                                                                                                                                                     |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 3 days ago    | [FreeCourseSite.com] Udemy - Ultimate Google Certified Professional Cloud Developer 2023                   | 371 Files   | 8.38 GB    | https://btdig.com/400265ff48c2dbcf0ced09554ec6ab60b65ecb63/[freecoursesite.com] | magnet:?xt=urn:btih:400265ff48c2dbcf0ced09554ec6ab60b65ecb63&dn=%5BFreeCourseSite.com%5D+Udemy+-+Ultimate+Google+Certified+Professional+Cloud+Developer+2023&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                              |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 3 days ago    | complete-git-guide-understand-and-master-git-and-git-hub                                                   | 912 Files   | 9.66 GB    | https://btdig.com/c15d18858d1a686d8fa98236172b6049b2dbba8c/[freecoursesite.com] | magnet:?xt=urn:btih:c15d18858d1a686d8fa98236172b6049b2dbba8c&dn=complete-git-guide-understand-and-master-git-and-git-hub&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                                                                  |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 4 days ago    | [FreeCourseSite.com] Udemy - Bootstrap 5 Course - The Complete Guide Step by Step (2023)                   | 639 Files   | 7.75 GB    | https://btdig.com/3a43ac41a9aef916e49495e63a9797c91cbc7cab/[freecoursesite.com] | magnet:?xt=urn:btih:3a43ac41a9aef916e49495e63a9797c91cbc7cab&dn=%5BFreeCourseSite.com%5D+Udemy+-+Bootstrap+5+Course+-+The+Complete+Guide+Step+by+Step+(2023)&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                              |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 4 days ago    | [FreeCourseSite.com] Udemy - LangChain- Develop LLM powered applications with LangChain                    | 182 Files   | 2.10 GB    | https://btdig.com/dfce1bbd64cff95cf05bed571bea8d77bde4842f/[freecoursesite.com] | magnet:?xt=urn:btih:dfce1bbd64cff95cf05bed571bea8d77bde4842f&dn=%5BFreeCourseSite.com%5D+Udemy+-+LangChain-+Develop+LLM+powered+applications+with+LangChain&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                               |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 6 days ago    | [FreeCourseSite.com] Udemy - Advanced JavaScript                                                           | 99 Files    | 1.54 GB    | https://btdig.com/7f312fa117282902190b07c0b26be71f971c8849/[freecoursesite.com] | magnet:?xt=urn:btih:7f312fa117282902190b07c0b26be71f971c8849&dn=%5BFreeCourseSite.com%5D+Udemy+-+Advanced+JavaScript&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                                                                      |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 6 days ago    | [FreeCourseSite.com] Udemy - Ultimate Google Certified Professional Cloud Architect 2023                   | 555 Files   | 8.16 GB    | https://btdig.com/84efbcff58f682f7591dee1f9d3c73be95920cc3/[freecoursesite.com] | magnet:?xt=urn:btih:84efbcff58f682f7591dee1f9d3c73be95920cc3&dn=%5BFreeCourseSite.com%5D+Udemy+-+Ultimate+Google+Certified+Professional+Cloud+Architect+2023&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                              |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 6 days ago    | [FreeCourseSite.com] Udemy - Microsoft Power BI Desktop for Business Intelligence (2023)                   | 385 Files   | 4.58 GB    | https://btdig.com/95032d40b78d0fe0602dae7dbec7839c2ff83031/[freecoursesite.com] | magnet:?xt=urn:btih:95032d40b78d0fe0602dae7dbec7839c2ff83031&dn=%5BFreeCourseSite.com%5D+Udemy+-+Microsoft+Power+BI+Desktop+for+Business+Intelligence+(2023)&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                              |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 6 days ago    | [FreeCourseSite.com] Udemy - The Complete Android 14 Developer Course - Build 100 Apps                     | 1680 Files  | 36.52 GB   | https://btdig.com/4f2bc1a11d46573c5297263f74d13b6b764fb994/[freecoursesite.com] | magnet:?xt=urn:btih:4f2bc1a11d46573c5297263f74d13b6b764fb994&dn=%5BFreeCourseSite.com%5D+Udemy+-+The+Complete+Android+14+Developer+Course+-+Build+100+Apps&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                                |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 1 week ago    | [FreeCourseSite.com] Udemy - Flutter Bootcamp Zero to Mastery                                              | 94 Files    | 2.03 GB    | https://btdig.com/a621f00e2a48120802d61059f7dfb89e3f4557bc/[freecoursesite.com] | magnet:?xt=urn:btih:a621f00e2a48120802d61059f7dfb89e3f4557bc&dn=%5BFreeCourseSite.com%5D+Udemy+-+Flutter+Bootcamp+Zero+to+Mastery&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                                                         |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| found 1 week ago    | [FreeCourseSite.com] Udemy - 146 Digital Marketing Hacks ChatGPT & Social Media                            | 1465 Files  | 17.16 GB   | https://btdig.com/aedfb4e277c2750b6918694393cf3128c972cd7e/[freecoursesite.com] | magnet:?xt=urn:btih:aedfb4e277c2750b6918694393cf3128c972cd7e&dn=%5BFreeCourseSite.com%5D+Udemy+-+146+Digital+Marketing+Hacks+ChatGPT+%26+Social+Media&tr=udp://tracker.openbittorrent.com:80&tr=udp://tracker.opentrackr.org:1337/announce                                     |
|---------------------|------------------------------------------------------------------------------------------------------------|-------------|------------|---------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
